nmap:
Scanning 10.129.47.178 [19 ports]
Discovered open port 135/tcp on 10.129.47.178
Discovered open port 25/tcp on 10.129.47.178
Discovered open port 445/tcp on 10.129.47.178
Discovered open port 143/tcp on 10.129.47.178
Discovered open port 80/tcp on 10.129.47.178
Discovered open port 587/tcp on 10.129.47.178
Discovered open port 110/tcp on 10.129.47.178
Discovered open port 993/tcp on 10.129.47.178
Discovered open port 139/tcp on 10.129.47.178
Discovered open port 47001/tcp on 10.129.47.178
Discovered open port 5040/tcp on 10.129.47.178
Discovered open port 465/tcp on 10.129.47.178
Discovered open port 49665/tcp on 10.129.47.178
Discovered open port 49668/tcp on 10.129.47.178
Discovered open port 49664/tcp on 10.129.47.178
Discovered open port 7680/tcp on 10.129.47.178
Discovered open port 55662/tcp on 10.129.47.178
Discovered open port 49666/tcp on 10.129.47.178
Discovered open port 49667/tcp on 10.129.47.178
Completed Connect Scan at 14:43, 0.15s elapsed (19 total ports)
Initiating Service scan at 14:43
Scanning 19 services on 10.129.47.178
Completed Service scan at 14:46, 160.98s elapsed (19 services on 1 host)
NSE: Script scanning 10.129.47.178.
NSE: Starting runlevel 1 (of 3) scan.
Initiating NSE at 14:46
NSE Timing: About 99.96% done; ETC: 14:46 (0:00:00 remaining)
Completed NSE at 14:47, 40.27s elapsed
NSE: Starting runlevel 2 (of 3) scan.
Initiating NSE at 14:47
Completed NSE at 14:47, 3.39s elapsed
NSE: Starting runlevel 3 (of 3) scan.
Initiating NSE at 14:47
Completed NSE at 14:47, 0.00s elapsed
Nmap scan report for 10.129.47.178
Host is up, received user-set (0.074s latency).
Scanned at 2024-05-05 14:43:43 EDT for 205s

PORT      STATE SERVICE       REASON  VERSION
25/tcp    open  smtp          syn-ack hMailServer smtpd
| smtp-commands: mailing.htb, SIZE 20480000, AUTH LOGIN PLAIN, HELP
|_ 211 DATA HELO EHLO MAIL NOOP QUIT RCPT RSET SAML TURN VRFY
80/tcp    open  http          syn-ack Microsoft IIS httpd 10.0
| http-methods: 
|_  Supported Methods: GET HEAD POST OPTIONS
|_http-title: Did not follow redirect to http://mailing.htb
|_http-server-header: Microsoft-IIS/10.0
110/tcp   open  pop3          syn-ack hMailServer pop3d
|_pop3-capabilities: USER TOP UIDL
135/tcp   open  msrpc         syn-ack Microsoft Windows RPC
139/tcp   open  netbios-ssn   syn-ack Microsoft Windows netbios-ssn
143/tcp   open  imap          syn-ack hMailServer imapd
|_imap-capabilities: ACL IDLE NAMESPACE RIGHTS=texkA0001 SORT IMAP4rev1 completed CHILDREN QUOTA CAPABILITY IMAP4 OK
445/tcp   open  microsoft-ds? syn-ack
465/tcp   open  ssl/smtp      syn-ack hMailServer smtpd
|_ssl-date: TLS randomness does not represent time
| smtp-commands: mailing.htb, SIZE 20480000, AUTH LOGIN PLAIN, HELP
|_ 211 DATA HELO EHLO MAIL NOOP QUIT RCPT RSET SAML TURN VRFY
| ssl-cert: Subject: commonName=mailing.htb/organizationName=Mailing Ltd/stateOrProvinceName=EU\Spain/countryName=EU/organizationalUnitName=MAILING/localityName=Madrid/emailAddress=ruy@mailing.htb
| Issuer: commonName=mailing.htb/organizationName=Mailing Ltd/stateOrProvinceName=EU\Spain/countryName=EU/organizationalUnitName=MAILING/localityName=Madrid/emailAddress=ruy@mailing.htb
| Public Key type: rsa
| Public Key bits: 2048
| Signature Algorithm: sha256WithRSAEncryption
| Not valid before: 2024-02-27T18:24:10
| Not valid after:  2029-10-06T18:24:10
| MD5:   bd32:df3f:1d16:08b8:99d2:e39b:6467:297e
| SHA-1: 5c3e:5265:c5bc:68ab:aaac:0d8f:ab8d:90b4:7895:a3d7
| -----BEGIN CERTIFICATE-----
